Image,Format,PSNR,SSIM,Original Size (KB),Compressed Size (KB)
00000.png,AI,34.967419727252064,0.9272441486287256,34.2041015625,2.2265625
00001.png,AI,36.6030781396133,0.9689009569366837,33.05859375,2.20703125
00002.png,AI,35.823545012492474,0.9581297885322678,34.2919921875,2.19140625
00003.png,AI,37.244994670540564,0.9668435343745162,32.0322265625,2.25390625
00004.png,AI,34.0643035389827,0.9318876861943631,33.201171875,2.30078125
00005.png,AI,38.28000181295228,0.9654676462398171,31.923828125,2.12890625
00006.png,AI,33.82191040687334,0.9468011051917271,33.9326171875,2.1875
00007.png,AI,34.01033324800453,0.9612256047936126,36.69921875,2.1484375
00008.png,AI,33.66553597090817,0.9411876553146444,34.626953125,2.23046875
00009.png,AI,33.11920042877737,0.9453066816909469,36.83984375,2.16796875
00010.png,AI,35.46073916203194,0.9425798727556779,30.8125,2.27734375
00011.png,AI,33.14890719324286,0.9496328931197766,30.7216796875,2.296875
00012.png,AI,38.379370019280344,0.9577979685504712,26.326171875,2.1875
00013.png,AI,34.785142139654816,0.9522133780554181,33.419921875,2.21875
00014.png,AI,37.56494798741978,0.9618162280517857,28.4619140625,2.21875
00015.png,AI,35.6763707926679,0.9499427923330903,35.556640625,2.1015625
00016.png,AI,34.581857052559414,0.9231189528367518,33.9697265625,2.31640625
00017.png,AI,38.3433487262334,0.9719933695060542,29.76171875,2.21484375
00018.png,AI,33.18652114941226,0.9320760972234567,34.08203125,2.21484375
00019.png,AI,34.686925650489236,0.9445404336198687,29.9228515625,2.18359375
00020.png,AI,32.51030123497419,0.8136132369986964,21.3984375,2.53515625
00021.png,AI,32.26110312147648,0.9190506241297332,33.4443359375,2.234375
00022.png,AI,35.42836565370736,0.9521851179286845,34.66015625,2.2734375
00023.png,AI,35.452042549078314,0.9552859217521195,28.6123046875,2.3046875
00024.png,AI,36.33208006637507,0.9616429528996179,29.83984375,2.19921875
00025.png,AI,32.64171906238162,0.9476989025781357,34.1142578125,2.23828125
00026.png,AI,32.1478943876453,0.9408518312650159,33.4775390625,2.3203125
00027.png,AI,32.540112854412016,0.9293384119833861,32.57421875,2.23046875
00028.png,AI,34.7874533579891,0.9565073964017413,31.794921875,2.3125
00029.png,AI,38.85824815010272,0.9737155959848419,30.6220703125,2.1171875
00030.png,AI,33.530819430818,0.9178518580899273,34.1259765625,2.3671875
